sale_id,date,product_id,customer_id,quantity,total_amount
1,2025-06-02,107,528,14,1862
2,2025-06-16,102,512,11,1991
3,2025-06-19,120,526,10,1390
4,2025-06-13,132,514,9,666
5,2025-06-11,138,524,4,104
6,2025-06-28,120,518,2,278
7,2025-06-03,107,516,12,1596
8,2025-06-17,119,521,14,1344
9,2025-06-19,130,524,13,2353
10,2025-06-08,124,538,4,308
11,2025-06-22,114,515,2,296
12,2025-06-20,110,525,15,2235
13,2025-06-10,122,534,10,560
14,2025-06-04,140,501,3,333
15,2025-06-23,122,514,1,56
16,2025-06-21,119,511,4,384
17,2025-06-05,104,515,9,720
18,2025-06-08,117,507,9,216
19,2025-06-07,119,525,1,96
20,2025-06-27,137,525,2,50
21,2025-06-08,107,528,5,665
22,2025-06-25,129,531,14,518
23,2025-06-06,136,506,12,2016
24,2025-06-07,130,516,3,543
25,2025-06-07,136,538,3,504
26,2025-06-21,128,506,12,660
27,2025-06-04,114,501,8,1184
28,2025-06-06,103,518,9,1665
29,2025-06-23,126,503,4,436
30,2025-06-26,138,517,8,208
31,2025-06-28,105,511,11,935
32,2025-06-07,121,510,6,552
33,2025-06-28,113,529,9,297
34,2025-06-14,103,507,3,555
35,2025-06-07,108,501,7,889
36,2025-06-09,127,540,5,910
37,2025-06-21,134,533,13,1339
38,2025-06-26,112,521,2,52
39,2025-06-26,116,528,1,40
40,2025-06-06,126,501,4,436
